brand|model|name|price_from|credit_month|benefit|engine|transmission|drive|in_stock|url
Changan|UNI-K iDD|Changan UNI-K iDD|4629900|63169|700000|1.5 л|6AT|Передний|1|https://skayavto.ru/catalog/changan/uni-k-idd
Chery|Tiggo 4 Pro|Chery Tiggo 4 Pro|1555000|21216|350000|1.5 л|7CVT|Передний|1|https://skayavto.ru/catalog/chery/tiggo-4-pro
Chery|Tiggo 7 Pro e+|Chery Tiggo 7 Pro e+|1555000|21216||0 л|* Привод|* Клиренс мм|0|https://skayavto.ru/catalog/chery/tiggo-7-pro-e
Chery|Tiggo 4|Chery Tiggo 4|1565000|21353|474000|1.5-1.5 л|AMT, CVT, MT|Передний|1|https://skayavto.ru/catalog/chery/tiggo4
Chery|Explore 06|Chery Explore 06|1990000|27151|360000|1.5 л|7DCT|Передний, Полный|1|https://skayavto.ru/catalog/chery/explore-06
Chery|Tiggo 7 Pro|Chery Tiggo 7 Pro|2055000|28038|345000|1.5 л|9CVT|Передний|1|https://skayavto.ru/catalog/chery/tiggo-7-pro
Chery|Arrizo 8|Chery Arrizo 8|2070000|28243|795000|1.6 л|7DCT|Передний|1|https://skayavto.ru/catalog/chery/arrizo-8
Chery|Tiggo 7L|Chery Tiggo 7L|2105000|28720|630000|1.6 л|DCT|Передний, Полный|1|https://skayavto.ru/catalog/chery/chery
Chery|Tiggo 7 Pro Max|Chery Tiggo 7 Pro Max|2376000|32418|234000|1.6 л|7DCT|Передний, Полный|1|https://skayavto.ru/catalog/chery/tiggo-7-pro-max
Chery|8 Pro Max New|Tiggo 8 Pro Max New|2530000|34519|775000|1.6-2 л|7DCT|Передний, Полный|1|https://skayavto.ru/catalog/chery/tiggo-8-pro-max-new
Chery|Tiggo 8 Pro Max|Chery Tiggo 8 Pro Max|2530000|34519|775000|1.6-2 л|7DCT|Передний, Полный|1|https://skayavto.ru/catalog/chery/tiggo-8-pro-max
Chery|Tiggo 8|Chery Tiggo 8|2590000|35337|450000|1.5 л|6DCT|Передний|1|https://skayavto.ru/catalog/chery/tiggo-8-new
Chery|Tiggo 8 Pro|Chery Tiggo 8 Pro|2925000|39908|405000|1.6 л|7DCT|Передний|1|https://skayavto.ru/catalog/chery/tiggo-8-pro
Chery|Tiggo 7 Pro Plug-in Hybrid|Chery Tiggo 7 Pro Plug-in Hybrid|3190000|43524|519000|1.5 л|DHT|Передний|1|https://skayavto.ru/catalog/chery/tiggo-7pro-plug-in-hybrid
Chery|Tiggo 9|Chery Tiggo 9|3305000|45093|1030000|2 л|8AT|Полный|1|https://skayavto.ru/catalog/chery/tiggo-9
Chery|Tiggo 8 Pro Plug-in Hybrid|Chery Tiggo 8 Pro Plug-in Hybrid|3625000|49459|440000|1.5 л|DHT|Передний|1|https://skayavto.ru/catalog/chery/tiggo-8-pro-plug-in-hybrid
Chery|Tiggo 8 Pro e+|Chery Tiggo 8 Pro e+|4350000|59351|580000|1.5 л|DHT|Передний|1|https://skayavto.ru/catalog/chery/tiggo-8-pro-e
CheryExeed|LX New|CheryExeed LX New|2420000|33018|430000|1.5-1.6 л|7DCT, CVT|Передний, Полный|1|https://skayavto.ru/catalog/cheryexeed/lx-new
CheryExeed|TXL New|CheryExeed TXL New|2875000|39226|805000|1.6-2 л|7DCT, 8AT|Полный|1|https://skayavto.ru/catalog/cheryexeed/txl-new
CheryExeed|RX|CheryExeed RX|3800000|51846|1100000|2 л|7DCT, 8AT|Полный|1|https://skayavto.ru/catalog/cheryexeed/rx
CheryExeed|VX New|CheryExeed VX New|4535000|61875|995000|2 л|8AT|Полный|1|https://skayavto.ru/catalog/cheryexeed/vx-new
Citroen|Berlingo|Citroen Berlingo|1239000|16905||0 л|* Привод|* Клиренс мм|0|https://skayavto.ru/catalog/citroen/berlingo
Citroen|C3 Aircross|Citroen C3 Aircross|1239000|16905|420000|1.2-1.6 л|5MT, 6AT|Передний|1|https://skayavto.ru/catalog/citroen/c3-aircross
Citroen|Multispace|Berlingo Multispace|1774000|24204|335000|1.6-1.6 л|5MT, 6AT|Передний|1|https://skayavto.ru/catalog/citroen/berlingo-multispace
